id,time,thing_id,location_id
2,2023-05-21 13:52:25,1,103
3,2023-07-03 14:12:34,1,362
4,2023-06-03 02:06:02,1,150
5,2023-03-14 09:55:26,1,20
6,2023-12-11 04:12:24,1,356
7,2023-09-29 10:17:07,1,454
8,2023-02-11 05:45:43,1,54
9,2023-06-27 08:12:16,1,469
10,2023-08-13 09:37:31,1,46
11,2023-08-18 21:59:15,1,83
12,2023-06-01 13:44:58,1,146
13,2023-02-07 10:07:02,1,125
14,2023-07-09 11:14:50,1,385
15,2023-12-13 18:38:54,1,200
16,2023-04-05 11:43:25,1,479
17,2023-04-07 18:54:32,1,270
18,2023-07-08 21:58:14,1,140
19,2023-06-08 16:44:47,1,284
20,2023-06-28 08:04:35,1,449
21,2023-09-04 09:46:59,1,435
22,2023-09-08 05:58:07,1,201
23,2023-12-15 16:18:49,1,27
24,2023-04-26 10:28:50,1,251
25,2023-03-15 21:15:13,1,24
26,2023-04-16 06:32:23,1,448
27,2023-11-30 13:25:05,1,396
28,2023-08-02 12:58:00,1,386
29,2023-07-24 17:38:01,1,349
30,2023-09-30 22:49:21,1,323
31,2023-03-22 06:09:39,1,87
32,2023-03-01 23:02:02,1,440
33,2023-07-15 22:47:49,1,409
34,2023-01-20 16:36:12,1,174
35,2023-06-11 17:07:51,1,286
36,2023-09-11 05:19:05,1,187
37,2023-05-09 00:54:03,1,182
38,2023-03-29 06:49:11,1,266
39,2023-10-16 21:00:49,1,115
40,2023-08-03 18:34:12,1,393
41,2023-12-18 14:49:15,1,146
42,2023-09-16 20:31:32,1,326
43,2023-10-18 03:10:39,1,27
44,2023-03-28 21:41:09,1,214
45,2023-06-14 20:07:46,1,499
46,2023-11-02 09:25:16,1,17
47,2023-03-24 02:31:59,1,307
48,2023-06-21 08:27:59,1,306
49,2023-09-21 16:33:35,1,17
50,2023-02-14 07:36:39,1,357
51,2023-08-17 23:50:19,1,450
52,2023-07-03 17:02:31,1,405
53,2023-05-04 14:09:56,1,139
54,2023-10-28 16:15:33,1,246
55,2023-11-08 18:23:21,1,174
56,2023-01-03 18:36:04,1,488
57,2023-05-01 23:19:49,1,439
58,2023-05-05 12:57:43,1,254
59,2023-07-01 00:44:17,1,90
60,2023-09-17 18:22:53,1,123
61,2023-05-27 01:58:18,1,173
62,2023-09-13 04:33:06,1,136
63,2023-12-07 11:47:55,1,339
64,2023-03-02 04:38:59,1,171
65,2023-08-25 21:37:05,1,348
66,2023-08-24 11:17:10,1,244
67,2023-02-23 03:01:51,1,434
68,2023-01-10 10:21:36,1,47
69,2023-04-28 17:01:40,1,6
70,2023-11-21 00:20:10,1,13
71,2023-08-06 10:24:46,1,8
72,2023-01-12 06:35:06,1,329
73,2023-05-01 01:39:27,1,245
74,2023-01-10 03:20:48,1,91
75,2023-04-06 06:08:12,1,369
76,2023-04-07 07:45:54,1,359
77,2023-10-06 12:47:31,1,470
78,2023-10-17 10:40:06,1,79
79,2023-03-29 23:07:43,1,310
80,2023-07-26 07:06:58,1,22
81,2023-08-02 12:44:38,1,464
